original,male,female
I have always wanted to be a positive role model for my children.,Vždy som chcel byť pozitívnym vzorom pre svoje deti.,Vždy som chcela byť pozitívnym vzorom pre svoje deti.
I used to have so many contacts in my phone.,Kedysi som mal v telefóne toľko kontaktov.,Kedysi som mala v telefóne toľko kontaktov.
I would never make a decision based on my emotions.,Nikdy by som sa nerozhodol na základe svojich emócií.,Nikdy by som sa nerozhodla na základe svojich emócií.
I did drugs.,Drogoval som.,Drogovala som.
I went to the disco with the sole purpose of finding a one night stand.,Išiel som na diskotéku s jediným cieľom nájsť si vzťah na jednu noc.,Išla som na diskotéku s jediným cieľom nájsť si vzťah na jednu noc.
All my life I have been preparing for this moment.,Celý život som sa pripravoval na túto chvíľu.,Celý život som sa pripravovala na túto chvíľu.
I went to the school reunion.,Išiel som na školské stretnutie.,Išla som na školské stretnutie.
I like nice clothes.,Mám rád pekné oblečenie.,Mám rada pekné oblečenie.
I am sure about my abilities.,Som si istý svojimi schopnosťami.,Som si istá svojimi schopnosťami.
I trekked druing the storm even though they warned me not to.,"Išiel som v búrke, aj keď ma varovali, aby som to nerobil.","Išla som v búrke, aj keď ma varovali, aby som to nerobil."
I initiated conversations with strangers at a social gathering.,Inicioval som rozhovory s neznámymi ľuďmi na spoločenskom stretnutí.,Iniciovala som rozhovory s neznámymi ľuďmi na spoločenskom stretnutí.
I used to always finish all my assignment on time.,Vždy som dokončil všetky svoje úlohy načas.,Vždy som dokončila všetky svoje úlohy načas.
I came to visit them at the hospital almost every day.,Chodil som ich navštíviť do nemocnice takmer každý deň.,Chodila som ich navštíviť do nemocnice takmer každý deň.
"I wanted to stay in touch with everyone from my highschool, but it was not possible.","Chcel som zostať v kontakte so všetkými zo strednej školy, ale nebolo to možné.","Chcela som zostať v kontakte so všetkými zo strednej školy, ale nebolo to možné."
I simply asked for that raise.,Jednoducho som požiadal o to zvýšenie.,Jednoducho som požiadala o to zvýšenie.
It's alright - I wanted to treat you anyway.,To je v poriadku - aj tak som ťa chcel liečiť.,To je v poriadku - aj tak som ťa chcela liečiť.
I like weightlifting.,Mám rád vzpieranie.,Mám rada vzpieranie.
I made the most rational choice.,Urobil som to najracionálnejšie rozhodnutie.,Urobila som to najracionálnejšie rozhodnutie.
I always like to give back when someone helps me.,"Vždy rád vrátim, keď mi niekto pomôže.","Vždy rada vrátim, keď mi niekto pomôže."
People tell me I'm restless because I constatnly need to be doing something.,"Ľudia mi hovoria, že som nepokojný, pretože neustále potrebujem niečo robiť.","Ľudia mi hovoria, že som nepokojná, pretože neustále potrebujem niečo robiť."
I like it when others make decisions for me.,"Mám rád, keď za mňa rozhodujú iní.","Mám rada, keď za mňa rozhodujú iní."
I bought a dangerous dog breed.,Kúpil som si nebezpečné plemeno psa.,Kúpila som si nebezpečné plemeno psa.
Nobody appreciated how tanned I got during the summer.,"Nikto neocenil, ako som sa cez leto opálil.","Nikto neocenil, ako som sa cez leto opálila."
I was at a congress with colleagues last week.,Minulý týždeň som bol na kongrese s kolegami.,Minulý týždeň som bola na kongrese s kolegami.
I am extremely discerning when it comes to choosing a sexual partner.,"Som mimoriadne náročný, pokiaľ ide o výber sexuálneho partnera.","Som mimoriadne náročná, pokiaľ ide o výber sexuálneho partnera."
"I had to ask them to change my glass, it was really dirty.","Musel som ich požiadať, aby mi vymenili sklo, bolo naozaj špinavé.","Musela som ich požiadať, aby mi vymenili sklo, bolo naozaj špinavé."
I have never doubted my own competence.,Nikdy som nepochyboval o svojej vlastnej kompetencii.,Nikdy som nepochybovala o svojej vlastnej kompetencii.
I took them to a water park.,Vzal som ich do vodného parku.,Zobrala som ich do vodného parku.
I joined a self-defence course.,Prihlásil som sa do kurzu sebaobrany.,Prihlásila som sa do kurzu sebaobrany.
I didn't want my partner to work.,"Nechcel som, aby môj partner pracoval.","Nechcela som, aby môj partner pracoval."
I had to shave my legs before the race.,Pred pretekmi som si musel oholiť nohy.,Pred pretekmi som si musela oholiť nohy.
I helped the neighbour with carrying her shopping bags.,Pomáhal som susedke s nosením nákupných tašiek.,Pomohla som susedke s nosením nákupných tašiek.
"They think I'm shy, but I just don't want to embarrass myself.","Myslia si, že som hanblivý, ale ja sa jednoducho nechcem zahanbiť.","Myslia si, že som hanblivá, ale ja sa jednoducho nechcem zahanbiť."
I had tough military training.,Mal som tvrdý vojenský výcvik.,Mala som tvrdý vojenský výcvik.
I always had authority and others naturally saw me as a leader.,Vždy som mal autoritu a ostatní ma prirodzene vnímali ako vodcu.,Vždy som mala autoritu a ostatní ma prirodzene vnímali ako vodcu.
We won the competition thanks to the idea I had a month ago.,"Súťaž sme vyhrali vďaka nápadu, ktorý som mal pred mesiacom.","Súťaž sme vyhrali vďaka nápadu, ktorý som mala pred mesiacom."
I wish I had passed the physical test!,Kiežby som prešiel fyzickým testom!,Kiežby som prešla fyzickým testom!
I hated logic because it often wasn't romantic.,"Nenávidel som logiku, pretože často nebola romantická.","Nenávidela som logiku, pretože často nebola romantická."
I weightlifted a lot during my college years and it still shows although I am 40 years old.,"Počas mojich vysokoškolských rokov som veľa vzpieral a stále je to vidieť, hoci mám 40 rokov.","Počas mojich vysokoškolských rokov som veľa vzpierala a stále je to vidieť, hoci mám 40 rokov."
I almost started crying.,Skoro som začal plakať.,Skoro som začala plakať.
I wanted him to feel welcome.,"Chcel som, aby sa cítil vítaný.","Chcela som, aby sa cítil vítaný."
I have never believed in superstitions.,Nikdy som neveril na povery.,Nikdy som neverila na povery.
I could not stop thinking about the sex we had last night.,"Nemohol som prestať myslieť na sex, ktorý sme mali minulú noc.","Nemohla som prestať myslieť na sex, ktorý sme mali minulú noc."
I have always wanted to behave as they expected me to.,"Vždy som sa chcel správať tak, ako odo mňa očakávali.","Vždy som sa chcela správať tak, ako odo mňa očakávali."
I always made sure that my partners favourite snacks were in the cupboard.,"Vždy som sa ubezpečil, že obľúbené občerstvenie mojich partnerov bolo v skrini.","Vždy som sa uistila, že obľúbené občerstvenie mojich partnerov bolo v skrini."
I thought therapy was for weak people.,"Myslel som si, že terapia je pre slabých ľudí.","Myslela som si, že terapia je pre slabých ľudí."
Maybe if I acted nicer they would say yes.,"Možno keby som sa správal milšie, povedali by áno.","Možno keby som sa správala milšie, povedali by áno."
They were rude so I had to punch them.,"Boli drzí, takže som ich musel udrieť.","Boli drzí, takže som ich musela udrieť."
I got a fine for speeding on the highway.,Dostal som pokutu za rýchlosť na diaľnici.,Dostala som pokutu za rýchlosť na diaľnici.
I expected the salary increase.,Očakával som zvýšenie platu.,Očakávala som zvýšenie platu.
This problem turned out to be too difficult and I got furious.,Tento problém sa ukázal byť príliš ťažký a ja som sa rozzúril.,Tento problém sa ukázal byť príliš ťažký a ja som sa rozzúrila.
"People would often turn to me for fashion and style advice, recognizing my good taste and sense of aesthetics so I knew I was appreciated.","Ľudia sa na mňa často obracali so žiadosťou o radu v oblasti módy a štýlu, uznávali môj dobrý vkus a zmysel pre estetiku, takže som vedel, že ma oceňujú.","Ľudia sa na mňa často obracali so žiadosťou o radu v oblasti módy a štýlu, uznávali môj dobrý vkus a zmysel pre estetiku, takže som vedela, že ma oceňujú."
I didn't make any hasty mistakes.,Neurobil som žiadne unáhlené chyby.,Neurobila som žiadne unáhlené chyby.
"I don't like watching videos of abandoned puppies, it makes me cry.","Nerád pozerám videá opustených šteniatok, je mi z toho do plaču.","Nerada pozerám videá opustených šteniatok, je mi z toho do plaču."
I invited my friends to my place to have a dinner.,Pozval som svojich priateľov k sebe na večeru.,Pozvala som svojich priateľov k sebe na večeru.
I worked in a laboratory.,Pracoval som v laboratóriu.,Pracovala som v laboratóriu.
I fired everyone who made me angry.,"Vyhodil som každého, kto ma nahneval.","Vyhodila som každého, kto ma nahneval."
I offered a supportive ear and understanding without judgment.,Ponúkol som podporné ucho a pochopenie bez posudzovania.,Ponúkla som podporné ucho a pochopenie bez posudzovania.
"I tried to lift the piano, but I couldn't.","Snažil som sa zdvihnúť klavír, ale nešlo to.","Snažila som sa zdvihnúť klavír, ale nešlo to."
I offered my help with doing the dishes.,Ponúkol som svoju pomoc s umývaním riadu.,Ponúkla som svoju pomoc s umývaním riadu.
My friend told me that I overreacted.,"Môj priateľ mi povedal, že som reagoval prehnane.","Môj priateľ mi povedal, že som reagovala prehnane."
"I don't like gossiping, it's a waste of time.","Nemám rád ohováranie, je to strata času.","Nemám rada ohováranie, je to strata času."
I'm good at navigating.,Som dobrý v navigácii.,Som dobrá v navigácii.
I turned on the washing machine.,Zapol som práčku.,Zapla som práčku.
I have never let any of my clients down.,Nikdy som nesklamal žiadneho zo svojich klientov.,Nikdy som nesklamala žiadneho zo svojich klientov.
I like curved bodies.,Mám rád zakrivené telá.,Mám rada zakrivené telá.
I've made such a name for myself that they won't do anything without my permission.,"Spravil som si také meno, že bez môjho dovolenia neurobia nič.","Urobila som si také meno, že bez môjho dovolenia neurobia nič."
I wanted to go to the cinema instead of watching the movie at home.,Chcel som ísť do kina namiesto pozerania filmu doma.,Chcela som ísť do kina namiesto pozerania filmu doma.
I should wash the car.,Mal by som umyť auto.,Mala by som umyť auto.
I never lost my temper.,Nikdy som nestratil nervy.,Nikdy som nestratila nervy.
I like to play computer games.,Rád hrám počítačové hry.,Rada hrám počítačové hry.
I knew how to fix a broken car.,"Vedel som, ako opraviť pokazené auto.","Vedela som, ako opraviť pokazené auto."
I wouldn't let anyone dictate what I should do.,"Nenechal by som nikoho diktovať, čo mám robiť.","Nenechala by som nikoho diktovať, čo mám robiť."
I like helping people.,Rád pomáham ľuďom.,Rada pomáham ľuďom.
I have decided that I will praise at least one person every day.,"Rozhodol som sa, že každý deň pochválim aspoň jedného človeka.","Rozhodla som sa, že každý deň pochválim aspoň jedného človeka."
I like giving orders.,Rád dávam rozkazy.,Rada dávam rozkazy.
I hated my body.,Nenávidel som svoje telo.,Nenávidela som svoje telo.
"I had already made up my mind, so your argument will not work.","Už som sa rozhodol, takže tvoj argument nebude fungovať.","Už som sa rozhodla, takže tvoj argument nebude fungovať."
I wouldn't hurt a fly.,Neublížil by som ani muche.,Neublížila by som ani muche.
They do not dare to questions the decisions that I have made.,"Neodvažujú sa spochybňovať rozhodnutia, ktoré som urobil.","Neodvažujú sa spochybňovať rozhodnutia, ktoré som urobila."
Just because I demand discipline from my employees doesn't mean I don't like them.,"To, že od svojich zamestnancov vyžadujem disciplínu, neznamená, že ich nemám rád.","To, že od svojich zamestnancov vyžadujem disciplínu, neznamená, že ich nemám rada."
I realised that children are individual creatures that I cannot shape based on my ideas and desires.,"Uvedomil som si, že deti sú individuálne stvorenia, ktoré nemôžem formovať na základe svojich predstáv a túžob.","Uvedomila som si, že deti sú individuálne stvorenia, ktoré nemôžem formovať na základe svojich predstáv a túžob."
I got very upset.,Veľmi som sa rozčúlil.,Veľmi som sa rozčúlila.
I made a group chat for all the new classmates.,Urobil som skupinový chat pre všetkých nových spolužiakov.,Urobila som skupinový chat pre všetkých nových spolužiakov.
I caught myself daydreaming about having sex.,"Pristihol som sa, že snívam o sexe.","Pristihla som sa, že snívam o sexe."
I reached a new personal record.,Dosiahol som nový osobný rekord.,Dosiahla som nový osobný rekord.
I would never let privacy interfere with my work life.,"Nikdy by som nedovolil, aby súkromie zasahovalo do môjho pracovného života.","Nikdy by som nedovolila, aby súkromie zasahovalo do môjho pracovného života."
I calmly addressed a conflict with a colleague.,Pokojne som riešil konflikt s kolegom.,Pokojne som riešila konflikt s kolegom.
I coached the youth football team.,Trénoval som mládežnícky futbalový tím.,Trénovala som mládežnícky futbalový tím.
I had difficulty taking responsibility for my actions.,Mal som problém prevziať zodpovednosť za svoje činy.,Mala som problém prevziať zodpovednosť za svoje činy.
I never made my decision based on emotions.,Nikdy som sa nerozhodoval na základe emócií.,Nikdy som sa nerozhodovala na základe emócií.
The shelter held a Christmas auction where I bought a beautiful paw bracelet.,"Útulok usporiadal vianočnú aukciu, kde som si kúpil krásny náramok na labku.","Útulok usporiadal vianočnú aukciu, kde som si kúpila krásny náramok na labku."
I'm successful.,Som úspešný.,Som úspešná.
I still think about how I was told I was ugly in elementary school.,"Stále myslím na to, ako mi na základnej škole povedali, že som škaredý.","Stále myslím na to, ako mi na základnej škole povedali, že som škaredá."
I maintained a professional tone.,Zachoval som profesionálny tón.,Zachovala som profesionálny tón.
"When danger came, I took the lead.","Keď prišlo nebezpečenstvo, prevzal som vedenie.","Keď prišlo nebezpečenstvo, prevzala som vedenie."
I won the marathon last year.,Minulý rok som vyhral maratón.,Minulý rok som vyhrala maratón.
I helped out at an animal shelter.,Pomáhal som v útulku pre zvieratá.,Pomáhala som v útulku pre zvieratá.
I was never worried about future.,Nikdy som sa nebál o budúcnosť.,Nikdy som sa nebála o budúcnosť.
I created a dating account.,Vytvoril som si zoznamovací účet.,Vytvorila som si zoznamovací účet.
I organised an international conference.,Zorganizoval som medzinárodnú konferenciu.,Organizovala som medzinárodnú konferenciu.
I should work harder so my children have easier life.,"Mal by som viac pracovať, aby moje deti mali ľahší život.","Mala by som viac pracovať, aby moje deti mali ľahší život."
I like to go to nude beaches.,Rád chodím na nudistické pláže.,Rada chodím na nudistické pláže.
I like to take care of my friends children when they are busy.,"Rád sa starám o deti svojich priateľov, keď sú zaneprázdnení.","Rada sa starám o deti svojich priateľov, keď sú zaneprázdnení."
"I wanted to go to that party, but nobody wanted to come with me.","Chcel som ísť na tú párty, ale nikto nechcel ísť so mnou.","Chcela som ísť na tú párty, ale nikto nechcel ísť so mnou."
I told him my emotions are deep and meaningful.,"Povedal som mu, že moje emócie sú hlboké a zmysluplné.","Povedala som mu, že moje emócie sú hlboké a zmysluplné."
I kept my poker face.,Zachoval som si poker face.,Zachovala som si poker face.
I made their dreams come true.,Splnil som ich sny.,Splnila som ich sny.
I worked in construction and it helped me gain physical strength.,Pracoval som v stavebníctve a pomohlo mi to získať fyzickú silu.,Pracovala som v stavebníctve a pomohlo mi to získať fyzickú silu.
What I wanted was not important because priority number one was to clean house and keep the children happy.,"To, čo som chcel, nebolo dôležité, pretože prioritou číslo jedna bolo upratať dom a udržať deti šťastné.","To, čo som chcela, nebolo dôležité, pretože prioritou číslo jedna bolo upratať dom a udržať deti šťastné."
Should I have seduced them?,Mal som ich zviesť?,Mala som ich zviesť?
I promised them everything would be okay.,"Sľúbil som im, že všetko bude v poriadku.","Sľúbila som im, že všetko bude v poriadku."
I took out the trash.,Vyniesol som smeti.,Vyniesla som smeti.
I have always trusted my skills.,Vždy som dôveroval svojim schopnostiam.,Vždy som dôverovala svojim schopnostiam.
I would never go to bed in the clothes that I wear during the day.,"Nikdy by som nešiel spať v oblečení, ktoré nosím cez deň.","Nikdy by som nešla spať v oblečení, ktoré nosím cez deň."
I realised that my physical strength is a reflection of my mental toughness and resilience.,"Uvedomil som si, že moja fyzická sila je odrazom mojej duševnej húževnatosti a odolnosti.","Uvedomila som si, že moja fyzická sila je odrazom mojej duševnej húževnatosti a odolnosti."
I'm rational.,Som racionálny.,Som racionálna.
I hated cowards.,Nenávidel som zbabelcov.,Nenávidela som zbabelcov.
I got my partner a new car.,Kúpil som svojmu partnerovi nové auto.,Dostala som svojmu partnerovi nové auto.
I hoped the people at the party would be more open-minded about sex.,"Dúfal som, že ľudia na večierku budú v otázke sexu otvorenejší.","Dúfala som, že ľudia na večierku budú v otázke sexu otvorenejší."
I should be preparing the lunch.,Mal by som pripraviť obed.,Mala by som pripraviť obed.
I had to ask for help with moving the table.,Musel som požiadať o pomoc s premiestnením stola.,Musela som požiadať o pomoc s premiestnením stola.
I noticed the tight clothing on them.,Všimol som si na nich tesné oblečenie.,Všimla som si na nich tesné oblečenie.
I don't like to argue with others because I can't hold back my tears.,"Nerád sa hádam s ostatnými, pretože nedokážem zadržať slzy.","Nerada sa hádam s ostatnými, pretože nedokážem zadržať slzy."
I first verified all the facts.,Najprv som si overil všetky fakty.,Najprv som si overila všetky fakty.
I was never afraid of you.,Nikdy som sa ťa nebál.,Nikdy som sa ťa nebála.
"I never broke down, not even when my beloved father died.","Nikdy som sa nezlomil, ani keď zomrel môj milovaný otec.","Nikdy som sa nezlomila, ani keď zomrel môj milovaný otec."
Why did I even agree to this?,Prečo som s tým vôbec súhlasil?,Prečo som s tým vôbec súhlasila?
I have not read a single negative review of my work.,Nečítal som ani jednu negatívnu recenziu na moju prácu.,Nečítala som ani jednu negatívnu recenziu na moju prácu.
I calmly resolved a disagreement with a friend.,Pokojne som vyriešil nezhodu s priateľom.,Pokojne som vyriešila nezhodu s priateľom.
I could always endure a little pain.,Vždy som dokázal vydržať trochu bolesti.,Vždy som dokázala vydržať trochu bolesti.
I'm the only one who does anything in this household.,"Som jediný, kto v tejto domácnosti niečo robí.","Som jediná, kto v tejto domácnosti niečo robí."
I met a lot of brilliant people at the conference.,Na konferencii som stretol veľa skvelých ľudí.,Na konferencii som stretla veľa skvelých ľudí.
I recommended them not to dive because it was dangerous without proper equipment.,"Odporučil som im, aby sa nepotápali, pretože bez náležitého vybavenia to bolo nebezpečné.","Odporučila som im, aby sa nepotápali, pretože bez náležitého vybavenia to bolo nebezpečné."
I led group activities often.,Často som viedol skupinové aktivity.,Často som viedla skupinové aktivity.
I could not wait until the highschool reunion.,Nevedel som sa dočkať stretnutia strednej školy.,Nemohla som sa dočkať stretnutia strednej školy.
I craved attention.,Túžil som po pozornosti.,Túžila som po pozornosti.
I never doubted my abilities.,Nikdy som nepochyboval o svojich schopnostiach.,Nikdy som nepochybovala o svojich schopnostiach.
I met a great bunch of people on the trip and we are still friends to this day.,Na výlete som stretol skvelú partiu ľudí a dodnes sme kamaráti.,Na výlete som stretla skvelú partiu ľudí a dodnes sme kamaráti.
I didn't wan to hurt my lover.,Nechcel som ublížiť svojmu milencovi.,Nechcela som ublížiť svojmu milencovi.
"New neighbours moved in, so I made them a welcome party.","Prisťahovali sa noví susedia, tak som im urobil uvítaciu párty.","Prisťahovali sa noví susedia, tak som im urobila uvítaciu párty."
They told me I was fragile.,"Povedali mi, že som krehký.","Povedali mi, že som krehká."
I am certain that the truth is simple.,"Som si istý, že pravda je jednoduchá.","Som si istá, že pravda je jednoduchá."
I stood face to face with a tiger.,Stál som tvárou v tvár tigrovi.,Stála som tvárou v tvár tigrovi.
I'm successful because my company is doing great.,"Som úspešný, pretože mojej spoločnosti sa darí skvele.","Som úspešná, pretože mojej spoločnosti sa darí skvele."
I offered them help with the furniture.,Ponúkol som im pomoc s nábytkom.,Ponúkla som im pomoc s nábytkom.
"When browsing through old photographs, I noticed how consistently good-looking I appeared in various moments and settings.","Pri prezeraní starých fotografií som si všimol, ako neustále dobre vyzerám v rôznych momentoch a prostrediach.","Pri prezeraní starých fotografií som si všimla, ako neustále dobre vyzerám v rôznych momentoch a prostrediach."
She keeps asking me why I cried that day.,"Stále sa ma pýta, prečo som v ten deň plakal.","Stále sa ma pýta, prečo som v ten deň plakala."
I was looking for the Kama Sutra in the bookshop.,Hľadal som Kámasútru v kníhkupectve.,Hľadala som Kámasútru v kníhkupectve.
I worked a sa data analyst.,Pracoval som ako dátový analytik.,Pracovala som ako dátový analytik.
I didn't take the rejection well.,Neprijal som odmietnutie dobre.,Neprijala som odmietnutie dobre.
Should I have given my kids more money?,Mal som dať svojim deťom viac peňazí?,Mala som dať svojim deťom viac peňazí?
"With no witnesses and no evidence, I refused to be a part of the jury.",Bez svedkov a dôkazov som odmietol byť súčasťou poroty.,Bez svedkov a dôkazov som odmietla byť súčasťou poroty.
I left when they started talking about religions and god.,"Odišiel som, keď začali hovoriť o náboženstvách a bohu.","Odišla som, keď začali hovoriť o náboženstvách a bohu."
I taught a self-defence class.,Učil som hodinu sebaobrany.,Učila som hodinu sebaobrany.
I am beautiful.,Som krásny.,Som krásna.
Hard work paid off and I bought a new car.,Tvrdá práca sa vyplatila a kúpil som si nové auto.,Tvrdá práca sa vyplatila a kúpila som si nové auto.
I noticed that my good looks seemed to open doors for me.,"Všimol som si, že môj dobrý vzhľad akoby mi otvoril dvere.","Všimla som si, že môj dobrý vzhľad akoby mi otvoril dvere."
I did the laundry.,Pral som.,Prala som.
I would like to explore every inch of that beautiful body.,Chcel by som preskúmať každý centimeter toho krásneho tela.,Chcela by som preskúmať každý centimeter toho krásneho tela.
"I didn't care that I don't have my own family, I had a high position at my job and that was enough for me.","Bolo mi jedno, že nemám vlastnú rodinu, v práci som mal vysoké postavenie a to mi stačilo.","Bolo mi jedno, že nemám vlastnú rodinu, v práci som mala vysoké postavenie a to mi stačilo."
I made sure my team finished in the top 3.,"Uistil som sa, že môj tím skončil v top 3.","Uistila som sa, že môj tím skončil v top 3."
I actively engaged with stakeholders.,Aktívne som spolupracoval so zainteresovanými stranami.,Aktívne som spolupracovala so zainteresovanými stranami.
There are no doubts I always did a great job.,"Niet pochýb o tom, že som vždy odviedol skvelú prácu.","Niet pochýb o tom, že som vždy odviedla skvelú prácu."
I cooked for him for almost twenty years.,Varil som mu takmer dvadsať rokov.,Varila som mu takmer dvadsať rokov.
I lifted twice my own weight.,Zdvihol som dvakrát svoju váhu.,Zdvihla som dvakrát svoju váhu.
I've been waiting so long for this game to come out.,"Tak dlho som čakal, kým táto hra vyjde.","Tak dlho som čakala, kým táto hra vyjde."
I pranked everyone at the party.,Všetkých som na párty žartoval.,Všetkých som na párty žartovala.
I led a team of young researchers.,Viedol som tím mladých výskumníkov.,Vedela som tím mladých výskumníkov.
I gave them some advice about how to look better.,"Dal som im pár rád, ako vyzerať lepšie.","Dala som im pár rád, ako vyzerať lepšie."
I displayed lack of maturity.,Prejavil som nedostatočnú zrelosť.,Prejavila som nedostatočnú zrelosť.
I bought a new hair dryer.,Kúpil som si nový fén.,Kúpila som si nový fén.
I'm confident and that attracts others.,Som sebavedomý a to priťahuje ostatných.,Som sebavedomá a to priťahuje ostatných.
The key moment in my career was when I realize that my decision-making skills earned me respect from everyone.,"Kľúčovým momentom v mojej kariére bolo, keď som si uvedomil, že moje rozhodovacie schopnosti mi získali rešpekt od všetkých.","Kľúčovým momentom v mojej kariére bolo, keď som si uvedomila, že moje rozhodovacie schopnosti mi získali rešpekt od všetkých."
When I got compliments it was always on my looks.,"Keď som dostal komplimenty, vždy to bolo na mojom vzhľade.","Keď som dostala komplimenty, vždy to bolo na mojom vzhľade."
I let my staff leave earlier today.,Dnes som nechal svojich zamestnancov odísť skôr.,Dnes som nechala svojich zamestnancov odísť skôr.
I like having an extra job.,Mám rád prácu navyše.,Mám rada prácu navyše.
"If I have offended anyone, it is their fault, I will not apologise to them.","Ak som niekoho urazil, je to jeho chyba, nebudem sa mu ospravedlňovať.","Ak som niekoho urazila, je to jeho chyba, nebudem sa mu ospravedlňovať."
I ate a lot of protein to build muscle.,Jedol som veľa bielkovín na budovanie svalov.,Jedla som veľa bielkovín na budovanie svalov.
I never left my job until everything was ready for the next day.,"Nikdy som neopustil svoju prácu, kým nebolo všetko pripravené na ďalší deň.","Nikdy som neopustila svoju prácu, kým nebolo všetko pripravené na ďalší deň."
"I never took any supplements, all my strength is natural.","Nikdy som nebral žiadne doplnky, všetka moja sila je prirodzená.","Nikdy som nebrala žiadne doplnky, všetka moja sila je prirodzená."
I got a lot of compliments on my outfit.,Dostal som veľa komplimentov na môj outfit.,Dostala som veľa komplimentov na môj outfit.
I have allowed employees to bring animals to work.,Dovolil som zamestnancom nosiť zvieratá do práce.,Dovolila som zamestnancom nosiť zvieratá do práce.
I met project deadlines with professionalism and technical expertise.,Dodržiaval som termíny projektov s profesionalitou a technickou odbornosťou.,Dodržala som termíny projektov s profesionalitou a technickou odbornosťou.
I was there when my kid took its first steps.,"Bol som pri tom, keď moje dieťa urobilo prvé kroky.","Bola som pri tom, keď moje dieťa urobilo prvé kroky."
I couldn't even open a bottle.,Nemohol som ani otvoriť fľašu.,Nemohla som ani otvoriť fľašu.
I'm not strong enough.,Nie som dosť silný.,Nie som dosť silná.
I always trusted my abilities.,Vždy som veril svojim schopnostiam.,Vždy som verila svojim schopnostiam.
I was not scared of that huge snake.,Nebál som sa toho obrovského hada.,Nebála som sa toho obrovského hada.
I kept telling myself that people were lying to me.,"Stále som si hovoril, že ma ľudia klamú.","Stále som si hovorila, že ma ľudia klamú."
I think they like me because I'm confident.,"Myslím, že ma majú radi, pretože som sebavedomý.","Myslím, že ma majú radi, pretože som sebavedomá."
I learned that being quiet is the best I can do in escalated situations.,"Naučil som sa, že byť ticho je to najlepšie, čo môžem urobiť v eskalovaných situáciách.","Naučila som sa, že byť ticho je to najlepšie, čo môžem urobiť v eskalovaných situáciách."
"Over the holidays, I'm lonely at home for a long time, so I call someone out every day.","Cez prázdniny som dlho sám doma, takže každý deň niekoho volám.","Cez prázdniny som dlho sama doma, takže každý deň niekoho volám."
I needed someone else to pick up the other end.,"Potreboval som niekoho iného, aby zdvihol druhý koniec.","Potrebovala som niekoho iného, aby zdvihol druhý koniec."
I never needed a weapon.,Nikdy som nepotreboval zbraň.,Nikdy som nepotrebovala zbraň.
I watched porn.,Pozeral som porno.,Pozerala som porno.
"They always tell me I work a lot, but that's just the way I am.","Vždy mi hovoria, že veľa pracujem, ale taký som.","Vždy mi hovoria, že veľa pracujem, ale taká som."
I was always keen in making money for the household.,Vždy som chcel zarábať peniaze na domácnosť.,Vždy som chcela zarábať peniaze na domácnosť.
I like to keep the house clean.,Rád udržiavam dom čistý.,Rada udržiavam dom čistý.
"I'm not patient, do not test me.","Nie som trpezlivý, neskúšajte ma.","Nie som trpezlivá, neskúšajte ma."
I bought condoms.,Kúpil som si kondómy.,Kúpila som si kondómy.
I turned on the dishwasher.,Zapol som umývačku riadu.,Zapla som umývačku riadu.
"As a senior executive in a multinational corporation, I exhibited strong leadership skills and a strategic mindset.",Ako vedúci pracovník v nadnárodnej korporácii som preukázal silné vodcovské schopnosti a strategické myslenie.,Ako vedúci pracovník v nadnárodnej korporácii som preukázala silné vodcovské schopnosti a strategické myslenie.
I always carried a condom with me.,Vždy som so sebou nosil kondóm.,Vždy som so sebou nosila kondóm.
"Let me open the jar, I said to her.","Dovoľte mi otvoriť nádobu, povedal som jej.","Dovoľte mi otvoriť nádobu, povedala som jej."
I like to stress the importance of communicating openly and directly.,Rád zdôrazňujem dôležitosť komunikácie otvorene a priamo.,Rada zdôrazňujem dôležitosť komunikácie otvorene a priamo.
I let my partner decide about the vacation last year.,O dovolenke som minulý rok nechal rozhodnúť svojho partnera.,O dovolenke som minulý rok nechala rozhodnúť svojho partnera.
I'm not going to apologise to anyone because I didn't do anything wrong.,"Nebudem sa nikomu ospravedlňovať, pretože som neurobil nič zlé.","Nebudem sa nikomu ospravedlňovať, pretože som neurobila nič zlé."
"I have never acted irrationally, I am just not that type of person.","Nikdy som sa nesprával iracionálne, jednoducho nie som ten typ človeka.","Nikdy som sa nesprávala iracionálne, jednoducho nie som ten typ človeka."
I wasn't worried at all.,Vôbec som sa nebál.,Vôbec som sa nebála.
I had to make a decision that prioritized the children.,"Musel som urobiť rozhodnutie, ktoré uprednostnilo deti.","Musela som urobiť rozhodnutie, ktoré uprednostnilo deti."
I ordered dumbbells that are too heavy and I can't workout with them.,"Objednal som si činky, ktoré sú príliš ťažké a nemôžem s nimi cvičiť.","Objednala som si činky, ktoré sú príliš ťažké a nemôžem s nimi cvičiť."
I like wearing funky socks.,Rád nosím funky ponožky.,Rada nosím funky ponožky.
"Stop commanding me, I like to spent time how I want to.","Prestaň mi rozkazovať, rád trávim čas tak, ako chcem.","Prestaň mi rozkazovať, rada trávim čas tak, ako chcem."
I watched a show about surviving in wilderness.,Sledoval som reláciu o prežití v divočine.,Pozerala som reláciu o prežití v divočine.
I never listened anyone else.,Nikdy som nepočúval nikoho iného.,Nikdy som nepočúvala nikoho iného.
I had to smile.,Musel som sa usmiať.,Musela som sa usmiať.
